date,Hour,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Weekday Name
1/12/2014,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday
1/12/2014,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday
1/12/2014,9,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2014,1,Sunday
1/12/2014,10,1.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,2014,1,Sunday
1/12/2014,11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2014,1,Sunday
1/12/2014,12,1.0,0.33,1.5,5.0,2.0,0.0,1.0,1.0,2014,1,Sunday
1/12/2014,13,0.0,0.33,0.0,3.0,1.0,0.0,0.0,0.0,2014,1,Sunday
1/12/2014,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday
1/12/2014,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday
1/12/2014,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday
1/12/2014,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday
1/12/2014,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday
1/12/2014,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday
1/12/2014,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday
1/12/2014,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday
1/12/2014,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday
1/12/2014,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday
2/1/2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,2,Saturday
2/1/2014,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,2,Saturday
2/1/2014,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,2,Saturday
2/1/2014,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,2,Saturday
2/1/2014,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,2,Saturday
2/1/2014,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,2,Saturday
2/1/2014,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,2,Saturday
2/1/2014,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2014,2,Saturday
2/1/2014,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2014,2,Saturday
2/1/2014,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2014,2,Saturday
2/1/2014,10,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,2014,2,Saturday
2/1/2014,11,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2014,2,Saturday
2/1/2014,12,0.33,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2014,2,Saturday
2/1/2014,13,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2014,2,Saturday
